slot_id,record_id,layer,practice,axis,pipeline,flag,fail_mode,rollback
INS-00019,E20,enterprise,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00020,E13,rollback,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00021,S11,archive,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00022,E20,catalog,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00023,E13,android,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00024,S11,native_c,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00025,E20,asm_contract,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00026,E13,federated_data,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00027,S11,security,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00028,E20,observability,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00029,E13,enterprise,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00030,S11,rollback,branchless_preferred,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00031,E20,archive,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00032,E13,catalog,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00033,S11,android,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00034,E20,native_c,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00035,E13,asm_contract,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00036,S11,federated_data,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00037,E20,security,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00038,E13,observability,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00039,S11,enterprise,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00040,E20,rollback,failover,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00041,E13,archive,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00042,S11,catalog,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00043,E20,android,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00044,E13,native_c,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00045,S11,asm_contract,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00046,E20,federated_data,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00047,E13,security,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00048,S11,observability,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00049,E20,enterprise,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00050,E13,rollback,rollback,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00051,S11,archive,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00052,E20,catalog,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00053,E13,android,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00054,S11,native_c,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00055,E20,asm_contract,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00056,E13,federated_data,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00057,S11,security,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00058,E20,observability,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00059,E13,enterprise,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00060,S11,rollback,watchdog,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00061,E20,archive,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00062,E13,catalog,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00063,S11,android,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00064,E20,native_c,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00065,E13,asm_contract,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00066,S11,federated_data,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00067,E20,security,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00068,E13,observability,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00069,S11,enterprise,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00070,E20,rollback,gcd_termination,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00071,E13,archive,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00072,S11,catalog,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00073,E20,android,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00074,E13,native_c,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00075,S11,asm_contract,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00076,E20,federated_data,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00077,E13,security,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00078,S11,observability,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00079,E20,enterprise,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00080,E13,rollback,audit_trail,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00081,S11,archive,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00082,E20,catalog,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00083,E13,android,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00084,S11,native_c,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00085,E20,asm_contract,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00086,E13,federated_data,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00087,S11,security,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00088,E20,observability,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00089,E13,enterprise,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00090,S11,rollback,doc_only_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00091,E20,archive,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00092,E13,catalog,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00093,S11,android,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00094,E20,native_c,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00095,E13,asm_contract,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00096,S11,federated_data,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00097,E20,security,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00098,E13,observability,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00099,S11,enterprise,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00100,E20,rollback,benchmark_gate,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00101,E13,archive,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00102,S11,catalog,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00103,E20,android,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00104,E13,native_c,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00105,S11,asm_contract,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00106,E20,federated_data,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00107,E13,security,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00108,S11,observability,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00109,E20,enterprise,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00110,E13,rollback,nomalloc_hot_path,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00111,S11,archive,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00112,E20,catalog,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00113,E13,android,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00114,S11,native_c,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00115,E20,asm_contract,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00116,E13,federated_data,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00117,S11,security,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00118,E20,observability,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00119,E13,enterprise,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00120,S11,rollback,q16_16,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00121,E20,archive,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00122,E13,catalog,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00123,S11,android,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00124,E20,native_c,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00125,E13,asm_contract,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00126,S11,federated_data,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00127,E20,security,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00128,E13,observability,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00129,S11,enterprise,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00130,E20,rollback,branchless_preferred,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00131,E13,archive,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00132,S11,catalog,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00133,E20,android,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00134,E13,native_c,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00135,S11,asm_contract,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00136,E20,federated_data,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00137,E13,security,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00138,S11,observability,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00139,E20,enterprise,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00140,E13,rollback,failover,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00141,S11,archive,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00142,E20,catalog,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00143,E13,android,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00144,S11,native_c,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00145,E20,asm_contract,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00146,E13,federated_data,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00147,S11,security,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00148,E20,observability,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00149,E13,enterprise,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00150,S11,rollback,rollback,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00151,E20,archive,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00152,E13,catalog,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00153,S11,android,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00154,E20,native_c,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00155,E13,asm_contract,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00156,S11,federated_data,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00157,E20,security,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00158,E13,observability,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00159,S11,enterprise,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00160,E20,rollback,watchdog,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00161,E13,archive,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00162,S11,catalog,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00163,E20,android,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00164,E13,native_c,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00165,S11,asm_contract,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00166,E20,federated_data,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00167,E13,security,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00168,S11,observability,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00169,E20,enterprise,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00170,E13,rollback,gcd_termination,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00171,S11,archive,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00172,E20,catalog,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00173,E13,android,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00174,S11,native_c,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00175,E20,asm_contract,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00176,E13,federated_data,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00177,S11,security,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00178,E20,observability,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00179,E13,enterprise,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00180,S11,rollback,audit_trail,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00181,E20,archive,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00182,E13,catalog,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00183,S11,android,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00184,E20,native_c,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00185,E13,asm_contract,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00186,S11,federated_data,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00187,E20,security,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00188,E13,observability,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00189,S11,enterprise,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00190,E20,rollback,doc_only_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00191,E13,archive,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00192,S11,catalog,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00193,E20,android,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00194,E13,native_c,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00195,S11,asm_contract,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00196,E20,federated_data,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00197,E13,security,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00198,S11,observability,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00199,E20,enterprise,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00200,E13,rollback,benchmark_gate,y_evidence,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00201,S11,archive,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00202,E20,catalog,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00203,E13,android,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00204,S11,native_c,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00205,E20,asm_contract,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00206,E13,federated_data,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00207,S11,security,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00208,E20,observability,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00209,E13,enterprise,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00210,S11,rollback,nomalloc_hot_path,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00211,E20,archive,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00212,E13,catalog,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00213,S11,android,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00214,E20,native_c,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00215,E13,asm_contract,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00216,S11,federated_data,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00217,E20,security,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00218,E13,observability,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00219,S11,enterprise,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00220,E20,rollback,q16_16,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00221,E13,archive,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00222,S11,catalog,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00223,E20,android,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00224,E13,native_c,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00225,S11,asm_contract,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00226,E20,federated_data,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00227,E13,security,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00228,S11,observability,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00229,E20,enterprise,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00230,E13,rollback,branchless_preferred,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00231,S11,archive,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00232,E20,catalog,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00233,E13,android,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00234,S11,native_c,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00235,E20,asm_contract,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00236,E13,federated_data,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00237,S11,security,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00238,E20,observability,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00239,E13,enterprise,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00240,S11,rollback,failover,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00241,E20,archive,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00242,E13,catalog,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00243,S11,android,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00244,E20,native_c,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00245,E13,asm_contract,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00246,S11,federated_data,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00247,E20,security,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00248,E13,observability,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00249,S11,enterprise,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00250,E20,rollback,rollback,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00251,E13,archive,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00252,S11,catalog,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00253,E20,android,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00254,E13,native_c,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00255,S11,asm_contract,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00256,E20,federated_data,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00257,E13,security,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00258,S11,observability,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00259,E20,enterprise,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00260,E13,rollback,watchdog,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00261,S11,archive,gcd_termination,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
INS-00262,E20,catalog,gcd_termination,z_meaning,generic_safe,DOC_ONLY,invalid_input,fallback_c
